"variant_query_id"	"source_query_id"	"ratio"	"variant_index"	"query"	"changed_terms"	"actual_change_ratio"
"5ae5669755429960a22e02ec::syn040::v1"	"5ae5669755429960a22e02ec"	"0.40"	"1"	"Which of the campaign that brought out the term Vichy Republican on social press was formally introduced on June 16, 2015, at Trump Tower in New York City?"	"media->press;launched->introduced"	"0.4000"
"5a811667554299260e20a23d::syn040::v1"	"5a811667554299260e20a23d"	"0.40"	"1"	"What professions do both Ian Hunter and Rob Thomas have?"	"occupations->professions"	"1.0000"
"5abdf8c45542993f32c2a072::syn040::v1"	"5abdf8c45542993f32c2a072"	"0.40"	"1"	"The Death of Cook portrays the demise of James Cook at a bay on what coast?"	"depicts->portrays;death->demise"	"0.5000"
"5adbd70c55429947ff173843::syn040::v1"	"5adbd70c55429947ff173843"	"0.40"	"1"	"What is the title of the personal account authored by the honoree of the Black and White Ball?"	"memoir->personal account;written->authored"	"0.5000"
"5ae0ae4555429945ae959419::syn040::v1"	"5ae0ae4555429945ae959419"	"0.40"	"1"	"Jal Pari, which translated in another language refers to which legendary creature which are sometimes associated with perilous events such as floods, storm,s shipwrecks, and drownings?"	""	"0.0000"
"5a89f68f5542992e4fca84b6::syn040::v1"	"5a89f68f5542992e4fca84b6"	"0.40"	"1"	"What kind of person of authority does Governor of Sheerness and Stapleton Cotton, 1st Viscount Combermere have in common?"	""	"0.0000"
"5aba67c255429955dce3ee10::syn040::v1"	"5aba67c255429955dce3ee10"	"0.40"	"1"	"Both The Badgeman and +44 were bands concieved in which country?"	""	"0.0000"
"5ab4f7fc5542991779162d43::syn040::v1"	"5ab4f7fc5542991779162d43"	"0.40"	"1"	"Kete Krachi is a town in what region?"	""	"0.0000"
"5ac3c08a5542995ef918c217::syn040::v1"	"5ac3c08a5542995ef918c217"	"0.40"	"1"	"who features in the series  which McClure hosts"	""	"0.0000"
"5ac4e593554299076e296e37::syn040::v1"	"5ac4e593554299076e296e37"	"0.40"	"1"	"OU812 was the second album to feature a vocalist that also played what instrument in ""Finish What Ya Started""?"	""	"0.0000"
"5a7f90a15542995d8a8ddea5::syn040::v1"	"5a7f90a15542995d8a8ddea5"	"0.40"	"1"	"What Future Publishing founder co-hosted the once-a-year TED Conference with June Cohen?"	"annual->once-a-year"	"1.0000"
"5ae0bc185542993d6555ec29::syn040::v1"	"5ae0bc185542993d6555ec29"	"0.40"	"1"	"Penny Rae Bridges starred in a television sitcom with what other cast member?"	"actor->cast member"	"0.5000"
"5ae377c45542990afbd1e16b::syn040::v1"	"5ae377c45542990afbd1e16b"	"0.40"	"1"	"The last film that Kim Hyun-seok authored was in 2015, what day was it released?"	"wrote->authored"	"0.5000"
